Date,Job Title ,CompanyName,Location ,Intern/Full Time,Where,Result
7.30.2020,Data Analyst,Tripalink,LA,Full Time,Handshake,
7.30.2020,Data Analyst,DesignMuseum ,"Boston, Remote",Intern ,Handshake,
7.30.2020,Data Analyst,MilkCrate LLC,Philadelphia,Intern,Handshake,
7.30.2020,Business Analyst,"Immunitas,Therapeutics",Cambridge Remote,Intern,Handshake,
7.30.2020,Data Analyst,BrainCo Inc,"Somerville, MA",Intern,Handshake,
7.30.2020,Data Analyst,Kharon,LA,Full Time,Handshake,
7.30.2020,Data Analyst,BVARI,Boston ,Full Time,Linkedin,
8.4.2020,Data Analyst,Motion Recruitment ,Springfield,Full Time,Linkedin,
8.4.2020,Data Analyst,Superpedestrain,"Cambridge, MA",Full Time,Linkedin,
8.4.2020,Quantitative Data Analyst,Cogo Labs,"Cambridge, MA",Full Time,Linkedin,Rejection
8.4.2020,Commercial SQL Data Analyst,Hawkins Point Partners,"Marlborough,MA",Full Time,Linkedin,
8.4.2020,Computational Data Analyst ,Harvard University,"Boston, MA",Full Time,Linkedin,
8.4.2020,Entry Level Business Analyst,Staffing,"Boston, MA",Full Time,Linkedin,
8.4.2020,Data Specialist,YipitData,"NewYork, NY",Full Time,Linkedin,Rejection
8.11.2020,Data Analyst,TrueData,LA Remote,Full Time,Handshake,
8.11.2020,Data Analyst,OCBang,"Santa Clara, CA",Intern,Handshake,
8.11.2020,People Data Analyst,Workhuman,"Framingham,MA ",Full Time,Linkedin,Rejection
8.11.2020,Analyst,Panjiva,"Cambridge, MA",Full Time,Linkedin,
8.11.2020,Business Analyst,RootLiquids,"Boston, MA",Full Time,Linkedin,
8.12.2020,Data Analyst,PWC,"Boston, MA",Full Time,Linkedin,
8.16.2020,Data Analyst - D2C,iRobot Bedford,MA,Full Time,Linkedin,Rejection
8.16.2020,Data Governance Analyst,Robert Half ,"Manchester, NH, US ",Full Time ,Linkedin ,
8.17.2020,Real Estate Data Entry,Boston Pads (need work authorization),"Allston,MA",Internship,Handshake,
8.17.2020,Data Specialist,Twitter,"Cambridge, MA",Full Time,Handshake,Declined
8.18.2020,Data Analyst,QSIDE Institute ,"Boston, MA",Internship ,Email ,
8.20.2020,Data Analyst,Digitas ,"Boston, MA ",Full Time,Linkedin,
8.22.2020,Business Analyst,Digi Infotek,"Boston, MA",Full Time,Linkedin ,
8.22.2020,Data Insights Analyst,"Toast, Inc","Boston, MA ",Full Time,Linkedin,
8.26.2020,Data Analyst,Hubspot,"Boston, MA",Full Time,Linkedin,Rejection
8.26.2020,Data Research Analyst,Buyers Edge Platform,"Boston, MA",Full Time,Linkedin,
8.26.2020,Financial Coordinator ,Carrefour,Online,Part Time,Email,
8.26.2020,Digital Product Manager,Eatwell  Meal Kits ,"Boston, MA",Full Time,Handshake,
8.26.2020,Data Analyst,HopJump,"Boston, MA",Full Time,Indeed,
8.26.2020,Data Analyst,Jerneltechcorp,"Boston, MA",Full Time,Indeed,
8.28.2020,Data Analyst,Boston IVF,"Boston, MA",Full Time,Indeed,
8.28.2020,Data Specialist,Definitive Healthcare,"Framingham,MA ",Full Time,Indeed,
8.29.2020,Data Analyst,Smartest Energy,"Syracuse,New York",Full Time,Wechat,
9.2.2020,Data Analyst,Wayfair,"Boston, MA",Full Time,Linkedin ,Rejection
9.2.2020,Data Science Program Manager,Experfy,West borough MA,Full Time,Handshake,
9.2.2020,Business Analyst,Bainbridge,"San Diego, CA",Internship,Handshake,
9.3.2020,Commercial Data Analyst,Covance,"Boston, MA",Full Time,Linkedin,
9.7.2020,Product Analyst,Rocketbook,"Boston, MA",Full Time,Handshake ,Rejection
9.7.2020,Business Analyst,National Software Management,"Boston, MA",Full Time,LinkedIn ,
9.7.2020,"Analyst, Product Research ",Liberty Mutual ,"Boston, MA",Full Time,Indeed ,
9.7.2020,Business Analyst,Wellington Management,"Boston, MA",Full Time,Zip Recruiter,
9.7.2020,Business Analyst,Public Consulting Group,"Boston, MA ",Full Time,Zip Recruiter,
9.7.2020,Quantitive Analyst,EverQuote,"Cambridge, MA",Full Time,Handshake,
9.7.2020,Data Analyst,Definitive Healthcare,"Framingham,MA ",Full Time,Handshake,Rejection
9.7.2020,Private Market Analyst,Hamilton Lane,"Bala,Cynwyd,PA",Full Time,Handshake,
9.13.2020,Data Analyst,Ebay,"NewYork, NY",Intern,Handshake,
9.13.2020,Data Analyst,Fund for Public Health,"NewYork, NY",Full Time,LinkedIn ,
9.13.2020,Data Analyst,Behaviours,"New York, NY ",Full Time,LinkedIn,
9.13.2020,Data Scientist,Kroll Bond Rating Agency,"New York , NY ",Full Time,LinkedIn,Rejection
9.13.2020,Product Analyst,CarGurus,"Cambridge, MA",Full Time,Indeed,
9.13.2020,Data Analyst,The Atlantic Group ,"Boston, MA",Full Time,Indeed,
9.13.2020,Data Analyst,PA Consulting Group ,"Boston, MA",Full Time,Indeed ,
9.18.2020,Data Analyst,Chairish,"San Francisco, CA",Full Time,Handshake,
9.18.2020,Data Analyst,B&W Tek,"Newark, DE",Full Time,Handshake,
9.18.2020,Data Analyst,OCBang,"Santa Clara, CA",Internship,Handshake,
9.18.2020,Data Analyst,American Acceptance LLC,Spartanburg SC,Full Time,Handshake,
9.18.2020,Data Analyst,Scar LLC,Boston MA,Internship,Handshake,
9.18.2020,Financial Data Analyst,Suntek Systems Inc ,"Irvine, CA",Full Time,Handshake,
